Gen,Pieces Placed,Lines Cleared,Computation Time [min]
10,7671,18,1.7911928176879883
20,17278,260,3.938378330071767
30,27847,957,6.170073401927948
40,40454,2421,8.779745701948801
50,54262,4215,11.597327967484793
60,68181,6077,14.422626622517903
70,86317,9279,18.240681727727253
80,102372,11607,21.667546927928925
90,136609,21253,28.7359339872996
100,163339,28072,34.3014524380366
110,186308,33387,39.15680826505025
120,225988,45347,47.306843535105386
130,264703,56763,55.17871267795563
140,294476,64474,61.394584170977275
150,327097,73410,68.1400181889534
160,358676,81950,74.7015783627828
170,392813,91648,81.80002790689468
180,427104,101355,89.01878248055776
190,452039,107528,94.39924610455832
200,492181,119691,102.74564403295517
210,548081,138153,114.25367239316304
220,582184,147927,121.41753738721212
230,612917,156341,127.94855145215988
240,663042,172535,138.2488098303477
250,721055,191738,150.11242428620656
260,752181,200301,156.70408475001653
270,789924,211427,164.62802524964016
280,825628,221830,172.08143099546433
290,851283,228226,177.5722990234693
300,881190,236139,183.97876406908034
310,908585,243187,189.79673021237056
320,933141,249014,195.1055299758911
330,959801,255805,200.80576877196629
340,992461,264753,207.58982102076212
350,1032255,276450,215.70848157405854
360,1059608,283138,221.32277825276057
370,1092972,292190,228.24174698988597
380,1133323,304256,236.52034364144006
390,1171320,315253,244.38526193698246
400,1205244,324432,251.3667797843615
410,1241639,334560,258.87927129268644
420,1286271,348007,268.08531685670215
430,1344488,366978,279.9871307214101
440,1396551,383503,290.6141587495804
450,1439544,396411,299.41634831031166
460,1481442,408762,308.0875776608785
470,1515375,417981,314.836289147536
480,1551481,428054,321.8844840566317
490,1609130,447048,333.2783712228139
500,1656170,461775,342.4626362760862
510,1715082,481257,353.6814643820127
520,1788404,506336,367.5174619158109
530,1869185,534432,382.82017387151717
540,1943068,559911,396.70005323489505
550,2051822,599235,417.00032903750736
560,2132357,627365,432.3110015114149
570,2235631,664380,452.4447453379631
580,2321053,694315,469.453689801693
590,2401228,722157,485.47148241202035
600,2473897,746966,499.16821465889615
610,2543229,770626,512.2453632513682
620,2613608,794516,525.5046686172485
630,2690378,820904,540.0413381059965
640,2762300,845486,553.6613463759422
650,2848012,875527,569.7420813560486
660,2921524,900706,583.6125566124916
670,2990823,924288,596.8514480868976
680,3066262,950427,611.1284918268522
690,3140403,975906,625.120955812931
700,3214959,1001633,639.2456848343213
710,3281199,1024097,651.7844488819441
720,3344467,1045334,663.8744432886441
730,3425105,1073351,679.1334731459617
740,3515511,1105227,696.1121987978618
750,3626599,1145284,716.9158921003342
760,3755979,1192651,741.1564622799556
770,3873463,1235176,763.2090132315953
780,3973829,1270911,781.9824059486389
790,4088309,1312239,803.4818462928137
800,4215894,1358915,827.3362662712733
810,4276055,1378966,838.8168606003126
820,4337206,1399354,850.6006146152814
830,4407127,1423227,863.9134226123492
840,4476081,1446967,877.0942800482114
850,4567646,1479529,894.3971512993177
860,4646655,1507030,909.3074877738952
870,4726136,1534593,924.3158464074135
880,4811109,1564268,940.2310130635898
890,4890317,1591689,955.2230515758197
900,4980582,1623567,972.2682666818301
910,5075913,1657331,990.134622033437
920,5170615,1690746,1008.0007248997688
930,5263847,1723850,1025.61164564689
940,5356773,1756784,1043.2079406221708
950,5471939,1798525,1064.7978884577751
960,5581607,1838009,1085.2607990264892
970,5725864,1891162,1112.1048379818599
980,5844731,1934234,1134.2873379349708
990,5964752,1977793,1156.7083753546078
1000,6088905,2022905,1179.8236743688583
