0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4,5,4,10,7,2,6,4,15,8,9,2,10,8,2,4,3,4,2,4,4,5,8,2,6,9,4,6,10,4,6,2,6,9,11,10,6,1,8,4,3,6,2,1,7,6,1,5,4,4
30,2,18,6,3,5,0,5,2,0,0,1,0,0,1,24,4,9,20,0,3,0,0,0,11,8,0,0,2,10,5,0,0,4,0,8,0,15,0,7,11,1,0,4,11,15,8,14,4,0,0
40,19,29,12,17,11,52,32,25,24,35,26,16,14,5,39,27,51,15,13,57,11,25,8,33,31,51,36,61,23,55,8,23,22,14,7,37,16,18,39,30,58,34,20,9,15,27,18,29,34,27
50,2,11,1,4,9,1,23,1,22,4,5,17,14,2,24,1,11,12,0,1,3,0,44,31,6,2,4,32,32,16,12,0,0,6,5,14,17,7,23,7,32,0,4,31,27,5,6,51,10,6
60,12,4,39,11,5,7,16,62,125,15,27,47,12,16,61,37,16,67,112,28,29,19,42,101,69,12,55,77,15,16,33,92,29,92,14,17,95,46,15,16,117,8,87,48,14,17,24,16,6,32
70,64,61,36,5,119,26,81,77,23,37,61,54,98,30,32,12,17,40,91,15,73,40,86,74,33,28,12,49,24,56,37,42,51,17,36,63,69,47,2,51,34,61,41,30,31,33,30,97,37,54
80,11,7,13,20,15,27,14,26,12,14,13,8,9,33,38,5,3,12,6,27,16,15,27,18,28,14,39,30,9,37,25,13,52,15,48,75,8,22,5,6,5,18,17,46,23,20,26,21,10,7
90,295,334,1986,914,185,1411,816,1523,433,2714,270,200,528,482,1679,399,1680,234,353,145,1281,185,670,809,313,158,895,531,36,398,857,848,1378,370,1572,381,115,2052,1059,1792,1964,354,384,1100,617,1821,911,2519,664,898
100,56,32,60,57,21,56,40,41,65,31,40,14,33,11,31,25,53,29,12,35,21,23,74,35,13,17,12,20,39,39,39,54,93,58,25,27,91,33,31,49,32,50,25,70,51,52,64,31,23,32
110,249,206,93,44,24,4,48,93,90,159,83,73,51,18,22,170,75,86,131,100,117,30,4,78,106,64,33,176,83,22,6,72,36,98,57,13,26,321,132,8,79,17,114,120,28,24,70,6,33,80
120,509,1007,438,147,22,799,117,583,284,470,87,170,669,1176,126,33,906,486,260,90,48,420,453,564,795,1155,429,168,168,123,121,409,108,447,220,127,88,1230,118,942,1273,242,49,870,299,1185,173,624,462,54
130,20,115,189,70,226,72,35,26,34,161,109,32,168,75,887,112,30,183,51,104,29,19,56,48,119,36,94,348,73,26,150,37,88,207,115,15,101,91,34,59,161,23,288,55,78,17,140,55,13,32
140,306,137,62,245,21,24,60,377,33,11,238,289,116,41,48,165,201,33,239,170,98,85,110,88,98,150,284,164,104,62,189,37,51,138,162,37,170,307,134,9,609,109,290,136,56,32,41,103,56,61
