gen,avg,var,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
6000,8.7,72.08999999999999,2,4,0,17,15,29,28,3,0,4,0,8,3,5,5,18,5,5,6,37,9,19,10,3,2,25,17,0,4,7,8,6,1,0,0,9,6,3,0,4,15,13,22,11,2,12,5,7,4,17
6500,5.88,48.5056,6,3,0,8,22,17,2,0,0,2,3,22,18,15,0,0,0,0,0,12,5,13,8,27,0,6,12,20,0,1,4,9,11,0,9,0,5,5,0,1,6,6,0,0,2,0,2,8,0,4
7000,9.14,138.80040000000002,22,18,5,2,0,23,0,0,8,0,0,0,8,0,15,0,0,0,0,0,0,2,14,6,0,0,0,5,14,12,59,34,4,2,22,5,29,7,13,12,18,13,0,10,16,0,13,37,4,5
7500,14.94,134.09640000000002,13,12,6,12,24,7,33,13,22,28,8,4,23,10,11,13,4,22,42,6,43,20,11,24,16,13,10,9,55,7,17,10,0,22,2,4,29,7,2,3,3,19,3,21,15,4,10,13,9,33
8000,15.26,234.91240000000002,17,6,9,6,9,0,11,9,12,4,31,10,2,3,5,37,5,29,3,27,38,7,23,6,7,22,6,36,10,14,39,17,6,13,8,50,2,2,8,32,72,45,5,4,3,0,34,7,5,7
8500,18.16,297.8544,51,2,3,12,30,10,6,25,12,12,29,31,5,27,29,23,5,14,4,0,13,28,39,38,0,28,8,30,10,21,8,0,23,7,3,54,0,16,19,88,30,9,7,2,16,1,18,7,3,52
9000,16.32,312.73760000000004,0,10,38,28,0,9,20,29,0,13,28,20,18,37,10,0,13,9,0,0,0,24,0,43,0,12,16,11,43,39,0,10,19,1,0,7,2,39,19,12,85,9,59,3,15,2,0,27,36,1
9500,28.88,576.2256,76,73,15,30,31,62,47,26,77,13,10,15,33,20,88,9,5,5,0,24,13,31,39,4,4,48,15,46,17,30,76,29,3,88,19,14,19,23,52,15,48,13,26,11,6,8,6,13,57,12
10000,39.62,1557.7155999999998,49,15,39,23,30,42,39,38,8,39,43,48,58,105,16,35,186,2,24,54,45,12,2,216,48,7,32,61,5,20,54,36,15,24,70,15,22,92,7,37,32,16,16,23,59,6,22,14,35,45
10500,16.32,528.1376000000001,0,0,25,12,6,0,65,5,10,0,92,0,28,4,28,50,21,0,12,0,8,14,0,10,0,0,0,105,18,0,24,10,23,49,0,0,13,0,56,19,0,0,0,27,20,19,0,17,0,26
11000,37.78,1120.0116,24,0,9,102,95,17,6,51,34,30,37,2,26,7,32,51,122,60,0,83,0,5,9,19,44,69,31,66,129,16,44,31,17,47,6,32,14,71,16,36,22,2,99,22,33,12,85,5,26,93
11500,159.58,23606.6036,430,142,513,51,185,755,311,68,299,114,76,579,9,28,242,60,216,96,146,184,71,115,47,58,72,49,98,46,292,221,139,28,77,112,161,122,38,34,172,180,49,41,129,149,94,56,34,167,485,139
