gen,avg,var,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
30000,1217.1333333333334,1076469.5155555555,1649,306,206,2458,2249,4101,510,450,560,1231,2458,132,268,207,1695,475,926,202,515,2671,418,1828,581,612,406,2676,958,1255,3225,1286
30500,4456.233333333334,21441368.645555556,3116,3581,2150,2616,8546,1930,12676,101,560,4909,4579,563,6323,470,622,118,3125,23336,1616,3970,4353,3191,8611,1190,3286,9183,5855,1934,7616,3561
31000,3243.133333333333,12891421.582222221,3164,700,409,1493,7715,4005,7293,6690,1082,1543,191,400,759,266,355,3105,3570,5526,281,2319,15651,2624,1572,3349,160,9815,600,91,3857,8709
31500,530.5666666666667,280847.5788888889,354,84,91,436,290,105,183,307,1458,153,610,566,501,144,261,896,50,71,338,2120,763,12,467,1500,57,756,48,1635,965,696
32000,525.5333333333333,260905.04888888894,53,179,311,1144,712,977,95,54,1071,1296,645,1287,685,155,17,242,659,264,175,1,117,477,1932,73,1499,60,213,823,41,509
32500,2401.3,4473640.21,1618,855,1916,4399,3152,1134,709,143,5102,1251,2512,1498,3456,3593,1997,1773,144,492,7359,5753,1024,230,8940,2625,745,2167,1480,1130,4014,828
33000,781.8333333333334,504317.27222222224,109,261,838,507,73,909,1349,245,910,3685,1700,692,1445,770,817,1117,413,449,662,357,1630,151,1030,13,484,908,1176,365,109,281
33500,3651.0666666666666,12703685.52888889,7969,1790,912,710,191,4395,2278,389,349,126,5985,2388,2004,9622,9464,5989,408,841,1464,3489,1217,5998,5096,16193,1475,2445,3837,1868,4693,5947
34000,993.8,671425.6933333332,932,72,2720,114,18,557,1012,2329,1030,951,1128,383,584,1573,574,732,887,208,1860,813,787,237,2651,438,1612,719,362,3248,956,327
34500,2071.9666666666667,4250863.498888888,4029,154,6588,1119,1323,847,1710,654,783,2528,811,3112,785,3687,1301,810,2199,253,9094,5146,2539,626,1720,228,222,4733,2365,73,1401,1319
35000,1002.4333333333333,716458.9122222222,898,652,433,857,2867,1581,749,439,127,2261,1481,288,3402,973,357,666,346,494,1428,1382,2671,77,61,170,183,1290,524,1468,1035,913
35500,3174.4666666666667,11428779.84888889,8058,517,2793,2687,2785,215,2288,14081,7946,8891,4466,3591,64,1407,416,8742,255,5138,1297,468,2658,61,346,3053,1566,1250,6822,538,1028,1807
