gen,avg,var,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
30000,2474.25,5333237.8875,947,1848,874,564,3149,189,2483,3313,706,1329,706,5406,3809,216,2546,1685,10194,1621,5175,2725
30500,4523.2,14354675.560000002,6160,2578,417,170,7443,4218,11700,5043,566,1115,4886,5644,375,5020,2020,377,6992,14805,4675,6260
31000,3299.2,4465116.5600000005,3531,1621,3326,2602,3010,1593,3718,1131,2971,8359,1079,2247,2599,693,5689,2170,1549,3942,7218,6936
31500,586.1,288536.68999999994,1204,527,1112,153,2275,202,513,751,898,205,236,796,262,159,6,1062,92,361,67,841
32000,345.9,224257.88999999998,96,200,111,15,1279,219,237,74,33,13,614,18,488,1620,189,162,85,1322,108,35
32500,2270.45,3635096.5474999994,166,1920,3096,934,1789,3612,2744,646,403,7117,384,6304,712,4271,2146,1037,1268,538,3621,2701
33000,1438.6,569121.1399999999,916,2393,904,1332,1403,704,698,1369,1586,1990,2908,2710,958,585,2530,224,619,1886,1838,1219
33500,5455.9,23436837.29,3521,4992,9565,1028,257,8165,2047,14454,2247,1044,18263,5462,2186,3284,13238,3695,7579,2148,2387,3556
34000,1184.2,2418508.16,1342,94,188,679,565,420,499,6929,1466,603,601,1489,1084,222,577,599,1024,4013,1071,219
34500,2019.55,2223582.9475,6399,3168,1862,1521,3293,2137,3622,500,186,1040,1417,3205,2345,3599,1529,874,399,144,2026,1125
35000,780.6,482871.14,16,651,301,1794,562,182,150,438,345,829,1697,752,1907,71,2613,286,1063,796,973,186
