gen,avg,var,1,2,3,4,5,6,7,8,9,10
5000,43.5,115.65,61,54,36,37,34,40,34,40,36,63
10000,70.4,558.24,88,70,52,31,81,57,80,40,100,105
15000,237.5,29412.25,219,119,221,48,376,213,141,218,688,132
20000,212.5,23311.85,390,64,207,535,289,66,92,223,229,30
25000,109.3,8179.409999999999,187,49,69,76,137,344,102,29,51,49
30000,128.7,7828.01,84,173,285,82,33,55,205,58,258,54
35000,211.7,23391.609999999997,175,144,123,132,168,84,564,169,453,105
40000,170.3,35435.01000000001,700,141,138,63,42,70,102,22,255,170
45000,206.8,35503.159999999996,55,154,229,710,316,193,39,119,212,41
50000,169.6,15697.24,29,83,112,123,188,198,491,143,262,67
