gen,avg,var,1,2,3,4,5,6,7,8,9,10
0,1.3,3.0100000000000007,0,1,5,4,1,0,0,0,0,2
5000,4.6,11.24,3,0,7,13,2,4,3,4,4,6
10000,22.5,269.45,15,46,4,20,7,9,50,8,41,25
15000,125.5,5671.45,227,130,147,46,186,6,215,34,183,81
20000,69.4,3386.04,14,64,50,57,58,57,119,34,18,223
25000,75.7,3406.4100000000008,41,121,216,105,1,79,69,17,65,43
30000,42.1,956.0899999999999,76,65,30,28,77,7,20,94,5,19
35000,122.6,15864.039999999999,289,22,8,127,82,110,81,33,424,50
40000,57.4,2407.24,29,174,83,64,14,105,50,10,29,16
45000,36.4,889.04,0,27,20,44,86,97,28,9,26,27
50000,49.4,1459.2399999999996,10,67,108,25,62,32,9,122,46,13
