gen,avg,var,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.15,0.22749999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
500,0.1,0.18999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1000,0.5,1.55,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0
1500,0.2,0.26,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2000,0.25,1.1875,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2500,2.3,7.610000000000001,0,8,1,6,10,0,0,1,1,3,2,2,1,0,4,1,0,0,4,2
3000,2.95,7.7475,0,3,1,2,2,0,1,0,6,3,3,0,7,0,7,6,3,7,8,0
3500,3.15,15.627500000000001,8,6,0,2,10,5,0,0,12,10,0,0,0,0,2,0,0,5,3,0
4000,1.65,8.3275,0,0,2,0,0,0,11,3,0,0,5,0,6,0,0,0,0,1,0,5
4500,6.1,65.08999999999999,0,6,0,0,5,32,2,13,5,20,4,0,2,7,5,0,3,16,2,0
5000,0.9,10.690000000000001,0,0,0,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1
5500,2.15,7.1274999999999995,0,2,8,4,0,2,2,0,8,0,0,7,3,0,0,2,0,4,1,0
6000,5.95,19.1475,4,0,5,2,11,9,4,2,2,6,7,14,3,6,10,14,2,0,13,5
6500,2.8,32.86,0,0,2,16,2,0,16,0,2,0,0,0,1,0,0,0,0,17,0,0
7000,13.0,91.3,5,10,13,6,16,15,33,5,13,1,8,13,2,28,4,17,8,8,19,36
7500,18.05,278.0475,6,9,27,22,11,0,39,12,42,3,0,12,63,13,10,8,11,11,14,48
8000,3.85,26.127499999999998,6,22,1,0,0,0,0,2,2,1,0,0,9,8,3,7,8,2,3,3
8500,13.95,176.7475,28,3,7,2,26,8,39,9,0,7,36,0,0,16,4,28,15,0,38,13
9000,4.1,34.89,6,0,5,8,0,4,0,0,23,0,2,5,0,0,3,15,0,1,0,10
9500,28.8,734.9600000000002,6,7,11,15,0,92,54,11,47,3,51,11,0,28,71,2,24,69,53,21
10000,61.65,4455.327500000001,41,7,44,301,73,66,9,30,36,70,43,189,74,29,24,76,25,26,36,34
10500,67.9,8000.99,118,57,7,53,43,62,6,84,16,23,419,75,73,147,36,7,89,9,0,34
11000,15.2,150.06,14,37,18,12,23,18,10,9,8,17,9,3,17,3,5,44,6,42,7,2
11500,86.6,4654.24,96,138,32,186,9,52,66,59,5,65,27,72,154,19,16,60,71,195,164,246
12000,50.9,2359.89,30,0,0,195,13,14,24,68,7,17,10,30,97,90,42,106,60,121,50,44
