gen,avg,var,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
12000,37.02,1393.2196,22,10,11,87,1,32,14,25,45,97,38,19,30,0,50,67,0,98,98,43,0,5,0,13,23,43,47,35,39,54,97,0,22,5,16,29,39,34,0,55,27,129,6,0,23,2,38,174,94,15
12500,4.24,32.5424,0,0,8,4,4,0,0,5,4,12,0,0,14,3,0,0,4,0,2,4,2,0,0,16,0,5,0,3,6,0,4,3,0,16,0,25,14,0,0,14,14,0,11,0,4,5,3,0,0,3
13000,12.02,466.8996000000001,16,38,14,2,8,3,0,9,0,13,28,2,3,19,3,123,33,3,14,0,15,3,13,0,7,4,0,3,0,20,87,35,6,2,6,2,2,3,27,4,0,0,12,0,6,3,3,0,0,7
13500,12.62,418.19559999999996,5,0,2,0,6,0,0,0,0,4,4,2,18,37,6,6,35,95,3,13,2,0,6,43,12,3,3,14,4,9,2,3,0,5,63,30,0,0,62,2,7,2,6,15,0,0,9,27,66,0
14000,3.36,38.6304,0,3,0,0,9,0,0,4,0,3,3,0,0,3,0,5,0,1,3,11,0,2,0,3,0,2,5,15,3,0,0,0,3,2,3,39,5,0,0,0,0,5,3,4,4,0,16,5,0,4
14500,33.22,2198.0516000000002,3,14,40,83,2,45,28,26,0,0,6,44,16,14,129,0,73,53,90,2,33,6,0,21,16,9,0,28,12,20,14,80,0,38,5,3,33,21,79,22,5,144,270,24,16,18,12,6,55,3
15000,14.76,824.3424,5,4,0,174,7,26,6,32,3,11,7,6,4,0,8,89,45,0,13,2,3,0,65,9,4,7,7,2,9,17,12,13,0,3,2,0,4,3,15,22,0,0,46,0,9,0,3,39,2,0
15500,103.86,12365.440399999998,27,10,297,6,102,32,559,8,29,165,86,61,79,16,235,56,35,336,69,301,12,91,84,3,5,114,148,35,187,8,117,111,48,65,319,120,54,83,94,77,56,281,46,0,56,152,240,51,20,7
16000,10.42,334.4436,58,0,11,6,0,0,57,3,0,0,0,0,0,0,0,3,0,37,6,13,0,7,0,6,0,15,3,0,5,0,0,49,0,48,4,9,62,8,0,3,6,67,3,5,3,6,7,8,3,0
16500,14.02,347.4596000000001,22,38,10,0,38,27,1,10,0,0,2,5,0,0,3,4,3,23,0,13,64,0,2,2,10,0,4,8,17,0,20,3,7,12,0,0,6,17,4,55,17,50,75,2,43,13,55,10,6,0
17000,36.62,2606.7155999999995,126,19,0,21,47,49,31,7,291,15,10,114,2,59,24,8,105,0,64,42,0,8,40,10,0,111,30,61,16,44,9,5,55,0,0,0,53,4,46,102,10,121,2,3,0,32,0,30,5,0
17500,21.52,726.7696000000001,0,22,0,3,19,19,108,8,1,2,3,75,0,75,0,0,16,14,0,120,49,17,13,24,43,2,2,46,19,24,17,3,38,0,7,15,54,0,9,30,9,21,3,11,57,9,35,3,0,31
