gen,avg,var,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,31.6,410.34,31,28,19,29,41,30,23,50,27,45,17,39,24,18,108,6,29,16,24,28
500,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,0.1,0.18999999999999995,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0.75,4.0875,3,0,0,0,1,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0
2500,6.0,39.0,10,5,6,3,3,2,9,30,7,1,5,0,3,9,2,5,5,10,1,4
3000,14.5,537.05,0,16,9,0,27,0,6,0,24,98,12,1,10,3,0,2,0,21,7,54
3500,36.1,1888.5900000000001,40,191,43,47,13,7,8,31,35,28,5,22,6,35,120,35,10,14,5,27
4000,17.05,280.74750000000006,29,1,14,65,5,12,8,8,2,2,8,15,20,16,53,35,5,18,2,23
4500,157.05,17183.1475,205,75,122,299,72,76,90,320,37,41,35,386,37,234,54,264,495,158,42,99
5000,9.8,867.9600000000003,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0
5500,214.95,38739.34749999999,101,108,84,25,84,94,183,11,541,63,351,408,215,398,787,63,78,385,157,163
6000,290.35,30493.127500000002,441,238,244,288,344,161,378,34,81,161,618,714,143,110,339,354,276,269,107,507
6500,236.05,85521.1475,7,106,216,62,145,121,171,169,404,50,219,73,1424,305,341,137,131,82,366,192
7000,177.0,9904.9,162,55,324,65,315,229,143,147,148,101,343,65,214,230,47,74,174,246,364,94
7500,328.1,69420.39,633,481,38,901,116,395,31,457,516,430,78,235,69,380,116,59,137,660,761,69
8000,378.35,119480.2275,109,96,132,1244,256,271,131,148,834,396,772,820,67,221,1034,356,178,204,169,129
8500,309.5,49342.55,605,321,136,169,69,63,105,598,671,535,348,550,0,306,261,91,269,92,721,280
9000,392.05,101805.8475,242,961,189,55,167,904,1096,388,234,518,866,219,500,123,200,342,59,540,233,5
9500,480.65,142528.8275,209,433,512,886,71,98,448,195,105,569,307,1257,559,1236,81,107,1117,224,433,766
10000,614.35,212711.72749999998,534,1160,212,167,718,1802,338,568,258,433,675,272,810,1272,585,194,346,270,1496,177
10500,368.1,218556.59000000003,532,81,75,100,759,47,513,19,1387,324,108,6,0,1789,133,689,105,217,120,358
11000,582.45,217727.54750000002,243,470,642,417,73,252,344,797,1004,200,723,463,272,1971,1532,411,531,45,390,869
11500,532.4,237652.74000000005,469,67,388,96,1068,305,465,86,195,1275,704,402,1454,193,315,214,1056,1680,143,73
12000,67.7,2937.1099999999997,161,143,23,3,50,41,180,1,11,23,67,79,45,13,61,159,53,116,74,51
12500,127.45,14736.5475,28,28,68,47,175,290,96,82,92,426,29,48,69,319,370,9,67,41,169,96
13000,307.65,98243.92749999999,5,136,198,108,126,6,352,79,778,12,593,67,803,2,125,955,884,469,269,186
13500,795.8,693704.76,1689,451,464,197,3058,2704,735,42,891,536,303,464,67,76,245,1119,1447,211,1075,142
14000,428.95,108762.74749999998,216,53,563,237,601,278,579,87,35,1452,466,208,795,509,111,525,723,87,436,618
14500,584.5,128086.15,418,852,124,352,168,1270,607,784,201,706,200,697,191,1131,356,950,1043,413,220,1007
15000,571.75,303993.0875,608,162,673,254,60,113,610,396,475,60,1962,44,461,249,1327,478,1182,553,1764,4
15500,89.5,8032.35,6,33,23,12,179,4,17,288,123,105,13,12,277,11,77,141,28,208,75,158
16000,486.0,76814.8,201,371,130,379,322,436,226,161,755,212,553,140,649,967,739,266,837,982,677,717
16500,231.75,33018.0875,390,284,194,830,148,259,224,94,43,85,136,93,144,184,184,325,45,220,554,199
17000,422.6,64686.43999999999,277,192,265,584,121,868,399,239,966,340,901,348,238,423,341,434,277,187,235,817
17500,1022.3,508304.50999999995,355,1745,478,2182,828,1756,470,1592,2427,1231,978,420,186,1505,63,792,2016,799,220,403
18000,212.15,47853.42750000001,18,22,198,592,141,196,755,43,654,99,135,160,238,227,7,476,73,56,65,88
18500,309.05,46475.2475,170,754,328,41,238,717,404,144,183,195,116,218,338,235,150,108,561,232,276,773
19000,1207.25,2281774.8875,223,406,4375,680,1172,595,4411,942,1692,5082,85,1239,470,111,1386,561,75,70,182,388
19500,68.15,1878.2275000000002,104,16,148,68,67,46,18,98,30,5,142,104,46,99,42,29,138,52,24,87
20000,435.75,183096.4875,488,49,207,415,551,803,77,472,645,291,69,460,1877,158,230,152,166,252,1166,187
20500,1154.4,886338.14,1348,366,813,104,967,2793,608,1865,2884,537,969,257,1511,842,183,545,1605,151,1273,3467
21000,539.0,248791.3,191,423,340,1121,39,782,999,28,108,539,438,745,122,637,472,447,1052,16,2137,144
21500,546.2,143384.66,162,1484,352,424,1076,558,607,384,116,655,540,412,1408,237,397,782,135,126,541,528
22000,927.85,416825.5275,1503,1687,293,810,169,591,852,1849,962,371,1368,372,2080,617,158,1996,216,593,381,1689
22500,682.65,345189.2275,1092,1160,1189,866,261,83,1853,187,452,528,30,80,155,388,107,2145,979,1052,312,734
23000,1084.75,1012238.4875,532,211,245,1426,54,3747,306,1845,398,1015,308,1992,1762,679,230,2060,125,2594,1981,185
23500,1135.25,550664.4875,465,1172,1175,262,917,112,1958,2727,772,2481,1461,962,1457,1182,492,1858,546,185,522,1999
24000,912.8,596933.5599999998,401,1469,1136,423,1475,17,378,20,2009,3442,727,403,876,797,1187,772,1316,441,239,728
24500,971.15,1141320.1275,629,946,2790,739,30,175,325,667,1768,578,137,4463,70,1089,256,900,891,2142,28,800
