Gen,Pieces Placed,Computation Time [min]
10,5351,1.533819039662679
20,11141,3.1316460490226747
30,17159,4.907074844837188
40,23903,6.819383641084035
50,31017,8.809290226300558
60,38564,10.867731901009877
70,46503,13.020211791992187
80,54323,15.165448725223541
90,61819,17.319650208950044
100,70024,19.5244571407636
110,81393,22.48136453231176
120,94972,25.99520270029704
130,110701,30.265058505535126
140,139027,38.1077978014946
150,163486,44.65617120265961
160,189850,51.62475495735804
170,216252,58.58143350283305
180,240206,65.05737539132436
190,261672,70.8506302634875
200,284592,76.91998608907063
210,305958,82.30667808055878
220,327352,87.71985904375713
230,353551,94.2378063639005
240,381915,101.35847059090932
250,402436,106.62064462900162
260,429830,113.47864021857579
270,453543,119.49150681098303
280,475252,125.12619651953379
290,494708,130.19941934744517
300,520751,136.8953957438469
310,549701,144.34989353020987
320,582748,152.82908299366633
330,610432,160.03135114908218
340,637405,167.05236060619353
350,666387,174.58521291017533
360,691543,181.1356279730797
370,719048,188.24045923948287
380,756210,197.7419069091479
390,787821,205.75784645875294
400,820805,214.2331665277481
410,854045,222.74623010953266
420,892284,232.43592910766603
430,928416,241.64520421028138
440,965423,250.79789354801179
450,1001034,259.5558308084806
460,1035107,267.956947573026
470,1066221,275.60370894670484
480,1105425,285.2265229264895
490,1134840,292.45954999128975
500,1167743,300.51454119682313
510,1203736,309.39039924939476
520,1234828,317.02906308174136
530,1274002,326.6567133307457
540,1311371,335.8721753438314
550,1350954,345.57102732261023
560,1384252,353.8016036947568
570,1427801,364.54204808076224
580,1463277,373.2736559589704
590,1505884,383.732146803538
600,1549227,394.2487209359805
610,1587575,403.6877052585284
620,1630439,414.15043414433796
630,1663078,422.18220744927726
640,1698772,430.9662975549698
650,1737173,440.4298223177592
660,1770338,448.64592887560525
670,1801236,456.3379325866699
680,1834252,464.6020694931348
690,1862019,471.54141989151634
700,1893049,479.2873733838399
710,1926739,487.6793288270632
720,1956210,495.0533954580625
730,1985749,502.42108905712763
740,2019967,510.85544890562693
750,2047109,517.599373070399
760,2084401,526.7600924690564
770,2111339,533.474298830827
780,2141276,540.8978243231774
790,2159788,545.54602060318
800,2182282,551.2182405551274
810,2209305,557.9906964461009
820,2235399,564.4925953507424
830,2265493,571.8663137237231
840,2295422,579.2998823126158
850,2327025,587.1657373785972
860,2369996,598.1157008488973
870,2400866,606.0090350468953
880,2432044,613.9645611008008
890,2467379,622.97636881272
900,2501093,631.5271168033282
910,2543438,642.4355584780375
920,2570442,649.2968983650208
930,2597369,656.1341962059339
940,2638334,666.504960223039
950,2678344,676.613731956482
960,2707648,683.9197853644689
970,2736782,691.2142824570338
980,2763735,697.9773985226949
990,2790413,704.7244739135107
1000,2816335,711.310705391566
1010,2840113,717.3801363666852
1020,2866950,724.1688474615415
1030,2896243,731.5500899950663
1040,2927905,739.6790132641793
1050,2950740,745.4482919096947
1060,2975361,751.6592481573423
1070,3001306,758.1922536770503
1080,3028809,765.1488066514333
1090,3052145,771.0340151309967
1100,3075683,776.9240898211797
1110,3099661,783.0295195579529
1120,3122755,788.8755492806434
1130,3151778,796.227978225549
1140,3175272,802.2287241975466
1150,3202456,809.1576594511668
1160,3226828,815.4039345304171
1170,3251549,821.6954317569732
1180,3276835,828.208332268397
1190,3302427,834.7592437545459
1200,3327884,841.2515382289887
1210,3348563,846.5945655385653
1220,3372288,852.676266558965
1230,3395950,858.775991487503
1240,3423389,865.8520618915558
1250,3452362,873.2628691991171
1260,3482617,880.9855590542157
1270,3510977,888.2482632199923
1280,3537758,895.132246140639
1290,3562440,901.5048629045486
1300,3590242,908.6268006404241
1310,3619815,916.1544449369113
1320,3644278,922.4074359059334
1330,3670522,929.1042742331823
1340,3694050,935.1181915998459
1350,3718720,941.4454300324122
1360,3747241,948.764836593469
1370,3774584,955.7143948515256
1380,3805094,963.4899538437526
1390,3831606,970.2518222530683
