Gen,Pieces Placed,Computation Time [min]
10,5080,1.609153719743093
20,11593,3.462992529074351
30,18703,5.403098396460215
40,26180,7.419797507921855
50,34592,9.687634921073913
60,46353,12.844526604811351
70,58022,15.92909098068873
80,72428,19.7390021165212
90,85483,23.246003782749177
100,99253,26.866908756891885
110,113264,30.524474465847014
120,128046,34.40638137261073
130,142826,38.31257047255834
140,159174,42.57003067334493
150,177317,47.32902194658915
160,197414,52.548576919237775
170,210643,56.07427827914556
180,225010,59.84232070843379
190,235384,62.62859927813212
200,247601,65.83355627854665
210,258903,68.84009458621343
220,270959,72.03711814085642
230,283880,75.46226814190547
240,296327,78.79029420614242
250,308553,82.03770189682642
260,323440,85.93618094523748
270,337289,89.60517430702845
280,353849,94.03287393252054
290,372328,98.99936962922415
300,397149,105.69577272335688
310,440073,116.87774442036947
320,474635,125.96603996356329
330,497882,132.0582800070445
340,523462,138.72841304937998
350,537236,142.49972276290256
360,563128,149.34129799604415
370,595034,157.57507404088975
380,615415,162.95704918702444
390,642763,170.20149189631144
400,677373,179.14434962272645
410,725505,191.60927126407623
420,778896,205.16001189549763
430,831739,218.6600365757942
440,906529,237.6328736782074
450,968241,253.35214167435964
460,1045423,273.09585284789404
470,1137871,296.46367375453315
480,1210732,314.91485553979874
490,1267254,329.44734656413397
500,1332622,346.2531223495801
510,1393997,362.1137893239657
