Gen,Pieces Placed,Lines Cleared,Computation Time [min]
10,8483,105,1.797425885995229
20,20564,1242,4.095173482100169
30,35913,3554,6.933267760276794
40,51755,6010,9.8374152580897
50,68095,8693,12.864822924137115
60,84129,11256,15.847799328962962
70,98845,13515,18.645975689093273
80,113691,15805,21.472941080729168
90,129988,18591,24.571530457337698
100,152077,23382,28.57896249294281
110,175496,28830,32.870564762751265
120,209108,38372,38.88986800909042
130,241195,47425,44.58612055381139
140,277602,58256,50.98648764292399
150,332040,76181,60.541089038054146
160,389414,95239,70.47370042403539
170,435491,109813,78.48669805924098
180,465900,118198,83.90041070779165
190,490078,124173,88.32589809894561
200,521261,132989,93.88280650377274
210,551798,141491,99.39668332735697
220,578481,148400,104.29768611987431
230,601864,154094,108.59877021312714
240,622469,158766,112.46137213309606
250,661130,170689,119.4041328072548
260,696570,181334,125.80121298631032
270,756557,201648,136.4236797094345
280,793711,212948,143.0224031130473
290,842345,228829,151.60245340267818
300,873336,237841,157.13699978192648
310,908838,248663,163.429243016243
320,960370,265692,172.45247169335684
330,1018002,285142,182.5217173496882
340,1055489,296717,189.13616732358932
350,1123265,320280,200.95848265886306
360,1178049,338729,210.67059966723124
370,1211846,348759,216.69446257750192
380,1249849,360343,223.43324635823566
390,1283888,370313,229.48754294315975
400,1317910,380224,235.47441331942875
410,1349686,389100,241.1200871706009
420,1386560,400170,247.64795951843263
430,1422390,411102,254.08466508785884
440,1453741,420041,259.66264788309735
450,1480653,427135,264.5014183322589
460,1504471,433048,268.7956531802813
470,1537867,442732,274.7371927777926
480,1566446,450589,279.9819418787956
490,1606559,462956,287.19043302933375
500,1665044,482610,297.4501722455025
510,1717406,499931,306.6388899008433
520,1753935,510856,313.217273636659
530,1798737,525019,321.1281899849574
540,1835262,535999,327.6790115674337
550,1881734,550848,335.9733976284663
560,1949167,573841,347.7898909409841
570,2021602,598885,360.38593729337055
580,2078631,617947,370.306363205115
590,2122029,631501,378.0198294043541
600,2177872,650081,387.8317199985186
610,2220078,663115,395.4146310766538
620,2256425,673874,401.98858275810875
630,2291893,684260,408.3593682169914
640,2360790,707885,420.3608605861664
650,2401713,720424,427.59507483641306
660,2453275,737050,436.6746505777041
670,2487106,746853,442.79069702625276
680,2531410,760591,450.6893794695536
690,2581373,776617,459.48638509114585
700,2617861,787257,466.0706391135852
710,2661574,800730,473.82047271728516
720,2708646,815504,482.19236825704576
730,2784801,841846,495.48570600748064
740,2884387,877311,512.6817223032316
750,3004535,921044,533.5550526301066
760,3091368,951646,548.9627550522487
770,3205514,992882,568.785897787412
780,3320211,1034443,588.7685955206554
790,3433732,1075464,608.548999885718
800,3531865,1110376,625.7253070592881
810,3627460,1144405,642.498417599996
820,3731077,1181461,660.6064484596252
830,3836491,1219274,679.0955561081569
840,3926190,1250784,694.854705675443
850,4045172,1293941,715.7260993242264
860,4140886,1327983,732.5392652312914
870,4250405,1367642,751.6738894343376
880,4335907,1397608,766.7552101413409
890,4422404,1427967,782.0753264586131
900,4493160,1452187,794.7541571895282
910,4559352,1474499,806.5938728054365
920,4640590,1502609,821.077122592926
930,4737414,1536871,838.1355262835821
940,4838249,1572791,855.9401793519656
950,4953359,1614454,876.0360955079396
960,5062546,1653741,895.0689106941223
970,5193455,1701529,917.9600591301918
980,5307147,1742723,937.7467129270236
990,5385030,1769565,951.4729637702306
1000,5465324,1797511,965.5564145565033
1010,5530035,1819159,976.9994522134463
1020,5614635,1848747,991.8531056205431
1030,5709283,1882308,1008.3929005622864
1040,5783142,1907662,1021.3184409419696
1050,5890845,1946480,1040.1271051526069
1060,5963019,1971290,1052.8990553538003
1070,6038938,1997489,1066.3509069522222
1080,6117268,2024575,1080.1868456959724
1090,6172725,2042621,1090.1573846856752
1100,6223213,2058767,1099.2271480321883
1110,6291355,2081943,1111.2973664959272
1120,6355317,2103507,1122.7229585091272
1130,6424197,2126993,1134.8153907338778
1140,6488909,2148719,1146.2636514544488
1150,6551543,2169743,1157.352174727122
1160,6603142,2186419,1166.5705128471056
1170,6669320,2208669,1178.2820827364922
1180,6753635,2238110,1193.0948618968328
