gen,avg,var,1,2,3,4,5,6,7,8,9,10
1,70.6,2818.64,69,71,24,220,28,63,37,45,73,76
2,101.6,2714.04,66,51,85,158,206,47,101,163,78,61
3,76.5,2935.65,32,64,220,44,79,51,125,34,52,64
4,183.7,13384.210000000001,75,146,224,59,137,49,121,384,295,347
5,270.7,19797.609999999997,450,213,346,564,221,316,215,109,159,114
6,212.4,20643.44,236,65,593,101,233,242,108,176,108,262
7,148.6,10400.640000000001,114,62,169,247,97,124,411,99,110,53
8,191.1,6246.09,240,153,145,147,98,373,261,106,212,176
9,189.9,8934.890000000001,335,76,133,80,200,278,124,219,337,117
10,200.9,15552.689999999999,300,279,142,74,462,267,94,249,70,72
