gen,avg,var,1,2,3,4,5,6,7,8,9,10
10,22.7,5.21,21,23,25,21,24,22,26,22,25,18
20,22.8,14.360000000000003,26,21,22,27,31,22,21,21,19,18
30,23.2,16.36,28,18,22,23,19,27,23,19,31,22
40,48.0,78.8,45,44,40,47,35,69,54,44,54,48
50,48.5,202.05,76,69,40,41,38,33,62,36,44,46
60,44.5,98.45,30,47,63,46,39,37,43,58,49,33
70,43.6,84.84,58,37,49,31,32,57,47,36,48,41
80,35.2,33.56,36,29,37,39,30,38,45,41,32,25
90,45.9,24.89,43,42,46,40,49,47,45,54,54,39
100,155.2,3593.16,110,159,125,171,236,173,65,232,65,216
110,163.6,9381.039999999999,233,86,95,102,178,148,116,97,158,423
120,295.5,22159.25,108,369,434,165,164,592,272,405,132,314
130,146.5,4958.85,121,90,96,242,264,188,75,78,90,221
140,124.9,3029.69,144,131,256,79,91,128,64,62,167,127
150,512.2,197020.96,865,174,866,126,441,360,156,1592,370,172
160,158.6,8056.839999999999,126,87,127,341,140,152,70,82,319,142
170,585.9,227677.68999999994,1818,1013,27,292,428,377,266,515,547,576
180,459.6,56176.03999999999,687,251,610,487,403,559,223,958,202,216
190,206.0,18639.8,327,103,230,81,112,234,549,199,104,121
200,455.4,92571.04000000001,242,610,312,157,461,1176,124,346,766,360
210,229.2,14177.759999999998,292,82,221,436,51,362,225,330,153,140
220,160.0,1933.0,183,192,161,210,213,151,139,172,59,120
230,148.2,1549.56,158,141,115,201,160,68,150,134,139,216
240,193.5,12541.25,255,119,87,198,456,87,153,219,76,285
250,351.5,18326.65,288,389,271,458,557,216,588,250,327,171
260,189.4,11119.84,76,370,126,259,291,263,263,94,97,55
270,395.5,87173.45,408,132,191,581,253,371,1186,309,398,126
280,216.3,18689.61,295,132,116,97,387,220,105,512,74,225
290,247.4,8938.24,394,83,161,180,263,322,230,209,239,393
300,326.8,28380.559999999998,238,349,502,311,212,739,288,109,302,218
310,294.8,18918.16,151,135,174,236,440,144,477,416,298,477
320,278.8,12698.759999999998,151,356,291,106,216,320,225,353,523,247
330,265.1,14578.89,380,297,220,405,105,452,119,235,326,112
340,276.8,16423.16,471,399,444,148,120,293,196,373,157,167
350,200.3,7629.210000000001,65,151,307,224,132,356,266,219,181,102
360,280.4,11248.240000000002,198,246,251,189,218,448,465,212,399,178
370,229.7,7806.409999999999,256,219,390,263,107,94,262,234,147,325
380,273.8,24291.76,413,184,624,93,157,232,179,248,433,175
390,234.0,9548.2,104,198,206,245,310,261,231,139,173,473
400,304.0,28187.8,315,152,125,606,83,410,132,473,435,309
410,262.9,23147.489999999998,101,136,397,649,269,234,138,271,191,243
420,157.8,1621.9599999999996,136,247,98,123,178,132,151,141,188,184
430,459.7,87645.20999999999,1047,852,294,199,398,722,269,483,186,147
440,304.1,43444.28999999999,152,250,536,661,163,74,92,134,566,413
450,219.0,4316.0,150,360,197,173,238,237,297,182,131,225
460,204.1,13435.09,163,135,147,100,162,111,518,251,255,199
470,164.2,15310.359999999997,390,136,51,196,124,61,140,76,403,65
480,218.3,10154.810000000001,255,462,192,241,98,136,289,134,235,141
490,240.0,48674.6,381,139,118,858,201,175,93,98,136,201
500,266.8,37820.56,426,66,168,135,718,95,163,190,455,252
510,329.4,54637.44,260,286,213,475,349,318,161,962,123,147
520,268.3,21994.409999999996,227,130,614,210,129,265,190,470,169,279
530,229.7,15093.009999999998,157,394,299,503,142,117,195,172,113,205
