gen,avg,std,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
10,0.55,0.9205976319760985,2,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,2,0,3,0
20,0.5,0.806225774829855,0,1,1,0,0,0,0,0,1,3,1,2,0,0,0,0,0,0,1,0
30,2.45,1.8296174463531987,3,3,2,3,3,2,4,0,0,2,3,5,1,8,1,1,1,2,4,1
40,5.75,2.8613807855648994,3,6,7,3,3,3,7,6,6,8,10,0,9,8,6,12,5,2,7,4
50,7.8,4.166533331199932,14,12,5,2,4,9,10,14,14,3,5,4,6,12,13,3,6,11,4,5
60,6.35,3.7453304260105007,4,2,0,5,7,4,15,3,8,12,2,6,7,7,6,4,12,4,8,11
70,16.6,15.147276983009188,9,26,16,26,8,9,1,72,12,17,11,21,8,20,10,2,8,31,3,22
80,7.15,6.6126772187972405,1,12,9,3,16,2,5,6,1,21,8,24,8,0,4,1,3,4,12,3
90,20.75,16.40083839320417,7,19,13,24,11,70,48,29,4,31,9,15,30,40,9,22,9,13,6,6
100,35.05,24.88066518403397,83,77,27,20,66,64,12,3,58,53,16,57,21,26,4,11,11,12,39,41
110,7.45,4.295055296500849,1,5,7,10,7,16,5,3,8,13,5,0,8,8,5,18,6,7,9,8
120,23.35,12.42286198909092,21,18,9,21,22,19,19,49,38,55,14,13,19,38,25,20,32,12,11,12
130,28.05,13.951612809994407,55,65,20,27,11,37,14,14,25,34,15,15,23,21,36,40,17,41,26,25
140,17.95,13.093796240968468,34,4,43,40,13,44,5,0,20,18,22,25,10,9,9,5,11,19,22,6
150,24.4,11.438531374263043,43,21,28,24,22,12,37,18,24,45,16,24,15,30,14,7,27,4,34,43
160,23.95,17.301661769899447,27,11,11,29,12,25,54,73,7,25,31,13,5,47,29,28,6,6,13,27
170,21.35,11.4073441256061,47,25,23,16,14,24,26,9,8,15,32,17,13,16,18,5,35,8,41,35
180,24.1,16.946681090998318,1,55,11,6,34,11,32,32,3,9,47,20,22,29,3,36,37,12,23,59
190,17.0,13.586758259423032,9,29,15,14,7,9,19,11,6,27,16,9,38,2,14,14,25,5,9,62
200,29.65,26.031279261688233,16,15,13,38,11,52,29,20,61,109,9,43,23,7,10,7,11,51,63,5
210,16.5,14.654350889752845,35,5,9,3,9,14,1,13,5,2,21,13,11,44,54,28,16,34,12,1
220,28.9,28.84076975394381,40,138,8,45,21,1,17,25,11,11,24,24,23,25,47,24,8,7,58,21
230,22.95,11.315807527525378,8,19,24,19,21,45,7,12,18,22,9,16,25,37,37,24,38,24,11,43
240,26.0,11.991663771137015,22,25,15,22,12,23,37,35,23,30,52,30,42,16,12,8,50,29,15,22
250,22.05,20.172939795676783,63,4,4,6,0,2,13,39,9,24,12,50,24,64,10,9,26,5,51,26
260,30.1,25.864841000864473,50,2,22,9,7,48,48,13,48,8,38,0,26,25,91,81,55,7,0,24
270,30.25,13.037925448475306,53,19,29,37,38,13,44,16,33,35,65,32,30,28,17,33,11,25,28,19
280,22.7,17.88323237001633,8,15,0,10,17,15,26,29,35,1,15,69,26,12,17,64,32,36,4,23
290,19.8,17.215109642404258,0,5,0,3,48,64,30,9,21,18,0,21,22,27,28,26,7,24,43,0
