gen,avg,std,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
10,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.45,0.6689544080129827,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,2,1,0,1
30,1.5,1.2041594578792296,0,4,2,2,0,2,2,2,1,0,0,0,3,1,2,3,3,2,1,0
40,7.55,7.599177587081381,12,1,10,0,11,0,3,16,29,4,2,0,4,17,5,17,12,2,0,6
50,8.8,5.537147279962851,4,18,16,1,13,5,10,9,9,16,15,6,6,3,4,11,2,9,18,1
60,6.5,5.324471804789654,8,4,5,23,8,2,3,1,6,6,18,5,4,2,3,1,6,7,10,8
70,26.5,19.03811965504997,38,14,41,39,38,2,43,3,59,50,6,25,0,18,0,29,9,61,31,24
80,19.85,12.791696525480894,2,25,40,9,15,9,48,16,34,26,3,7,30,6,24,27,29,8,10,29
90,25.2,24.50632571398658,35,31,68,27,1,35,26,13,16,4,3,13,1,31,39,105,20,2,26,8
100,6.65,5.650442460551209,2,0,1,6,1,3,13,15,13,0,6,3,2,3,13,18,15,6,9,4
110,25.2,20.071372648625704,0,50,4,10,2,38,61,20,26,21,0,12,23,56,13,56,53,22,32,5
120,8.05,4.188973621306299,11,3,6,6,18,2,11,6,4,8,14,11,6,6,5,2,13,10,7,12
130,17.15,12.673890483983204,19,8,2,29,6,9,36,21,7,9,11,2,38,11,12,28,35,42,15,3
140,9.0,5.779273310719955,7,10,22,6,4,3,5,5,7,9,9,10,7,5,4,21,5,12,22,7
150,8.25,5.646901805415072,5,2,7,12,3,7,10,4,23,18,9,9,16,3,12,2,1,7,5,10
160,28.3,22.325097984107483,11,41,11,15,17,20,16,3,64,37,12,9,1,23,56,71,54,27,9,69
170,32.25,29.72183540765947,14,12,12,70,50,58,52,133,34,22,4,37,38,12,9,37,21,14,8,8
180,26.85,11.900735271402352,19,7,37,24,30,19,25,43,24,31,22,48,25,14,23,18,57,19,16,36
190,89.55,78.70036531046091,51,105,62,96,17,100,64,28,195,167,132,56,1,302,62,4,36,237,22,54
200,85.7,85.55238161500824,162,129,69,2,22,45,80,86,0,108,22,47,3,355,69,66,231,151,7,60
210,88.3,63.02943756690202,18,198,64,101,0,175,77,61,96,69,89,36,189,23,136,25,83,43,225,58
220,8.15,7.4650853980379885,10,1,5,0,8,10,0,15,16,3,0,2,5,27,17,6,0,20,12,6
230,37.9,36.77757468893238,17,12,130,51,15,23,22,128,63,5,5,70,6,10,17,73,43,17,33,18
240,34.15,33.02767778697134,17,23,117,85,43,83,25,11,5,30,40,27,1,93,22,4,5,2,36,14
250,130.95,114.66101124619475,260,102,15,40,6,249,69,182,61,57,136,135,254,435,90,307,6,28,30,157
260,148.95,84.62474519902557,84,276,118,303,51,195,33,120,62,211,190,140,78,76,283,182,185,19,121,252
270,274.9,217.7461595528151,94,198,308,706,258,417,97,193,88,293,877,51,250,270,39,490,100,80,212,477
280,126.8,87.05262776045303,39,40,354,150,135,25,115,158,318,208,93,86,166,89,30,92,148,53,178,59
290,267.25,278.8058240066014,260,166,1286,181,105,356,18,146,64,373,361,661,104,67,155,398,169,298,69,108
300,180.45,160.18535357516305,135,372,2,49,370,53,68,622,15,146,153,220,193,27,386,39,289,307,107,56
