0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,5,3,3,1,3,2,0,6,3,3,2,5,1,2,7,1,6,2,6,4,3,4,2,3,4,6,0,3,5,4,4,5,1,0,11,3,3,3,3,3,3,6,6,4,1,2,3,2,2
30,0,0,0,10,10,0,0,0,12,1,0,0,0,1,0,4,4,4,3,18,2,3,3,13,0,4,20,11,8,4,2,3,0,2,1,0,6,3,6,11,0,2,4,0,22,0,11,4,0,9
40,48,11,100,35,20,6,42,62,34,16,12,26,27,24,32,49,31,17,15,24,19,35,39,31,24,37,22,17,20,10,16,21,34,30,25,40,27,64,39,41,37,24,17,21,17,33,28,19,28,85
50,13,2,9,0,0,4,2,26,7,12,2,3,2,1,57,0,5,7,7,8,60,40,5,9,5,5,0,21,0,7,3,2,42,29,1,12,14,0,2,5,27,4,26,0,2,13,8,8,48,4
60,69,34,59,24,13,33,44,13,8,81,14,22,15,2,26,15,35,82,17,21,22,16,63,42,40,20,45,22,75,42,31,19,31,2,16,86,23,3,12,6,4,71,38,18,44,18,53,53,39,13
70,51,82,22,25,27,27,24,12,59,93,30,38,38,9,40,30,17,28,42,46,25,31,14,21,15,16,31,53,33,24,26,40,25,57,44,15,40,35,1,8,2,29,11,19,17,9,13,12,74,6
80,18,32,17,27,34,10,4,41,6,36,36,28,2,9,41,24,19,25,19,40,13,13,15,5,31,23,10,22,14,7,16,22,22,43,13,6,8,23,41,1,16,18,15,35,6,6,16,24,37,32
90,695,373,118,119,2186,206,191,196,507,454,142,43,445,671,537,364,180,35,69,344,353,219,178,564,74,665,410,207,580,81,114,321,230,1326,162,295,128,111,169,196,239,206,519,644,560,478,885,10,94,874
100,12,52,66,31,14,16,38,30,40,16,35,35,38,33,18,17,38,11,11,24,19,88,102,23,36,20,48,52,17,13,8,27,19,28,15,23,19,15,31,7,30,52,24,10,50,12,38,36,18,32
110,68,119,291,333,150,126,38,10,172,287,40,10,67,25,29,98,10,35,20,319,135,20,84,123,102,16,345,160,24,34,231,49,59,32,94,28,75,190,50,142,16,45,29,56,129,8,30,106,73,48
120,136,213,314,1526,266,314,179,132,542,271,226,66,95,53,578,1338,457,39,308,722,481,2453,903,51,432,210,339,1385,498,691,459,961,105,103,287,213,202,2049,718,291,139,524,294,466,107,194,132,31,782,293
130,31,103,112,16,189,38,42,12,28,49,51,104,10,142,7,17,92,59,15,31,49,37,20,46,40,94,61,222,153,94,39,31,112,26,196,24,37,151,226,79,271,324,16,177,31,72,34,14,58,80
140,230,279,48,24,24,216,87,15,167,350,183,56,45,149,43,246,16,91,33,52,31,232,31,64,460,164,209,32,103,26,193,151,47,429,223,102,42,140,265,422,140,157,207,12,95,180,116,293,32,318
150,61,202,76,77,65,268,730,148,97,928,180,417,117,70,522,58,1026,21,153,133,64,65,62,153,172,51,74,95,121,99,676,761,86,372,104,186,63,23,77,109,30,55,599,40,690,191,365,122,554,334
160,227,221,270,93,356,1067,484,172,325,703,671,192,739,149,219,106,558,104,994,111,118,452,13,144,696,473,930,171,281,152,381,124,242,323,74,1105,248,130,61,196,377,347,536,61,108,304,1109,181,245,512
170,67,17,491,167,84,175,656,14,140,671,27,235,176,522,272,339,284,92,107,59,19,232,1257,144,257,310,249,347,3,116,265,101,342,5,17,416,16,125,375,306,288,91,187,172,39,185,328,178,370,237
180,51,16,32,48,32,33,22,9,50,13,58,96,27,26,76,45,55,126,140,1,43,12,206,166,20,34,42,279,318,15,240,27,43,93,27,71,16,14,127,163,103,107,9,12,53,75,40,29,134,87
190,184,97,15,9,100,11,50,44,134,66,19,21,3,52,5,8,221,37,5,77,83,50,3,86,45,53,95,69,17,33,54,62,16,44,114,84,18,80,74,8,24,104,59,17,15,10,33,137,21,19
200,214,120,331,299,419,1025,148,233,226,370,892,347,447,131,141,490,53,234,210,220,608,573,640,324,546,456,1894,368,1716,1526,94,251,320,930,135,322,508,871,521,92,873,70,70,860,130,189,466,553,261,226
210,69,93,46,984,1311,628,101,30,99,78,157,186,594,68,417,228,863,88,128,566,471,51,291,635,212,267,202,175,279,60,281,304,253,502,241,171,741,94,667,68,768,340,412,177,234,106,93,130,95,173
220,52,12,91,138,178,11,11,86,151,26,33,190,258,5,7,214,94,111,11,157,433,6,237,53,102,168,233,50,60,35,61,84,205,134,48,78,57,134,166,13,176,9,221,64,21,17,87,49,37,31
230,289,156,62,92,246,48,71,62,401,246,153,170,105,42,223,111,734,115,88,289,296,315,212,203,263,419,50,315,95,385,150,76,249,280,67,32,435,347,146,118,203,192,479,644,808,110,58,128,348,37
240,169,1492,2609,143,180,65,434,187,795,309,1074,736,772,136,1868,2437,919,144,827,429,318,538,124,284,82,1412,575,222,240,266,284,51,732,650,273,112,71,343,237,522,627,654,730,530,169,186,714,434,3060,281
250,72,211,48,168,95,442,391,124,93,282,450,87,189,222,1171,60,70,421,321,68,29,120,159,39,216,179,135,130,180,82,76,95,344,170,113,1112,53,61,10,204,286,168,73,34,13,228,286,106,19,53
260,614,254,239,36,153,374,477,140,103,16,56,97,273,905,252,73,131,172,199,299,117,283,262,478,474,959,432,171,128,56,272,1025,740,514,191,824,29,35,662,212,42,88,95,639,634,61,14,288,99,86
