0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
10,1,1,2,4,5,5,2,1,0,2,2,2,5,4,3,1,2,1,0,2,3,4,2,6,2,4,5,1,4,3,3,1,2,4,6,2,2,4,2,2,4,0,2,1,3,2,2,3,1,2
20,0,0,0,0,0,0,0,0,3,0,0,14,1,49,20,4,0,0,7,40,0,0,0,8,19,0,39,0,2,0,0,0,0,51,0,0,26,2,0,18,25,0,0,0,0,0,3,0,0,0
30,3,15,8,26,7,85,0,36,7,15,16,3,23,17,11,71,9,21,51,169,86,18,31,11,18,120,2,19,46,15,5,5,29,29,18,3,10,58,4,37,95,28,42,51,67,10,38,21,47,32
40,29,2,1,8,15,3,14,47,1,14,11,33,3,2,15,4,10,14,14,35,24,10,41,11,47,2,19,39,29,12,3,4,13,50,26,59,24,6,10,12,4,0,3,10,13,1,15,5,5,30
50,19,46,6,12,11,12,23,22,25,24,39,8,5,48,92,8,25,6,40,51,46,17,8,2,6,1,34,36,18,0,24,6,45,5,3,49,38,46,36,6,4,0,41,98,22,2,22,3,30,60
60,42,14,58,31,24,62,8,8,10,63,20,62,63,14,17,19,38,46,16,7,27,19,11,5,11,6,51,9,50,40,55,3,68,107,14,27,18,89,14,59,39,36,22,6,4,44,8,20,18,4
70,33,121,158,37,52,28,33,84,33,34,46,8,50,6,67,30,104,47,31,21,52,44,94,11,29,24,42,20,16,123,81,54,37,54,46,32,11,50,107,73,8,24,53,52,74,38,64,72,58,72
80,26,5,25,32,2,4,19,2,23,5,46,10,55,9,33,33,1,14,10,16,6,3,35,9,43,24,4,5,9,13,3,29,26,15,10,23,0,9,17,4,44,1,1,20,35,1,15,5,5,23
90,52,36,53,48,26,47,69,60,154,76,49,46,56,42,78,55,26,10,32,16,33,9,108,24,8,14,104,58,36,42,33,40,42,7,12,23,34,33,29,34,26,28,106,74,159,11,34,43,76,105
100,33,65,18,59,11,73,51,125,44,50,6,79,88,13,80,11,58,37,49,37,43,41,153,193,142,44,62,100,80,84,107,103,45,53,6,19,133,24,55,26,39,86,30,24,44,21,172,158,105,86
110,45,21,25,82,45,100,11,65,21,28,17,26,50,65,38,48,97,21,30,33,86,48,30,6,39,23,20,39,72,69,113,19,38,27,39,51,52,28,19,81,45,53,47,17,63,30,24,28,39,49
120,622,796,538,657,266,2148,558,1807,1195,690,232,311,90,2305,1076,882,240,158,621,1174,812,995,1286,148,349,721,874,75,437,776,814,1373,1600,1348,1284,1533,503,832,2097,137,1728,586,465,1470,232,285,99,443,553,220
130,424,157,146,143,240,34,39,82,19,225,57,87,31,16,44,30,24,89,13,307,84,11,70,49,23,102,258,35,116,110,54,7,33,164,103,65,87,10,226,43,14,1,67,26,93,132,23,41,445,10
140,680,909,467,213,739,156,657,149,1379,233,612,260,299,3358,1080,2516,69,150,313,820,250,1707,607,118,979,371,132,343,146,540,465,754,1341,1241,315,435,296,195,255,228,257,78,694,1952,661,560,850,373,303,1209
150,197,145,166,280,117,2083,405,136,632,172,1097,1505,268,248,1713,102,60,165,1390,533,230,460,685,286,361,122,313,304,173,709,412,352,1321,204,633,268,52,71,452,308,1424,458,18,675,588,118,542,164,147,447
160,511,54,322,218,63,174,553,1035,375,250,241,123,1086,365,208,1096,87,161,1851,722,149,474,544,707,95,638,467,216,969,426,385,62,362,685,49,58,912,250,676,356,566,121,1198,382,1679,229,400,429,271,153
170,76,225,34,22,136,425,54,36,152,55,234,65,256,198,53,65,72,48,70,97,32,38,13,49,197,20,113,95,8,14,66,140,151,126,213,355,135,19,18,41,94,40,182,122,141,25,68,45,55,25
180,48,45,50,6,76,31,1,8,23,70,10,5,50,134,17,10,94,177,48,209,6,37,12,8,121,13,76,16,69,20,26,111,17,14,43,36,156,151,35,109,30,84,14,0,50,26,39,77,5,36
190,147,67,376,95,152,311,229,9,25,132,31,102,144,67,23,8,38,88,44,109,61,35,33,51,35,15,42,75,36,20,94,81,59,241,35,11,36,164,1,96,163,12,19,67,18,12,53,55,17,15
200,70,222,115,79,336,229,62,429,1426,257,1083,77,973,927,306,322,313,2004,478,1064,235,444,732,673,100,44,168,36,27,687,657,1066,1555,908,525,510,129,827,361,95,238,245,47,1904,215,107,113,50,373,628
210,69,834,521,987,138,1057,480,106,991,655,832,331,1305,365,307,31,1449,936,1198,181,827,2063,937,1413,331,621,279,175,768,210,599,319,127,665,233,661,59,668,668,1383,378,34,99,2379,78,554,1583,216,766,944
220,46,69,305,42,69,100,150,71,161,54,19,30,58,166,51,70,63,51,3,67,1,207,85,109,69,19,32,18,19,66,68,36,77,73,32,95,10,91,74,110,43,7,97,30,43,124,21,19,94,52
230,4,106,58,10,7,30,34,18,31,646,79,52,17,44,442,50,47,28,116,9,14,14,44,22,171,60,18,45,134,63,1,55,32,59,117,34,44,73,6,56,21,27,87,122,40,4,55,91,70,19
240,245,142,191,13,18,319,24,24,282,94,199,290,21,84,128,100,215,542,18,57,254,210,88,98,216,159,18,36,159,15,19,70,115,50,123,101,376,4,18,35,133,90,92,231,138,58,52,23,74,18
250,429,95,228,447,341,1556,381,108,132,821,661,1437,4021,1620,254,1796,499,795,2712,1024,1193,1145,1512,1676,264,751,1451,101,2722,100,880,379,1167,347,1257,1502,2185,1309,2174,1117,66,127,275,1731,358,1137,1445,138,62,1533
260,5297,2233,3655,132,34,347,1754,713,1202,3511,866,770,1397,1563,617,5635,3954,2431,610,1150,277,1439,504,972,127,376,577,650,169,612,479,828,425,1691,1684,213,1601,2287,2098,1560,974,608,209,1154,519,1096,688,21,630,4926
270,1275,880,767,452,1447,914,488,3255,1888,158,2132,1575,263,4434,922,176,3865,3619,69,88,49,2192,2253,429,2313,1723,592,1175,865,72,735,1090,1700,1371,2897,394,443,452,2103,1292,386,175,1548,774,892,3199,9468,2979,228,2101
280,15,136,209,83,36,125,44,66,159,42,55,70,92,69,64,104,15,102,94,38,7,67,160,85,50,32,99,92,36,44,63,57,33,91,29,72,39,32,19,156,86,119,35,18,23,44,159,36,74,45
290,425,578,585,444,2957,341,846,472,72,170,936,1288,1207,998,394,421,863,687,139,1154,676,1039,157,560,3105,49,280,319,1219,386,1044,677,2224,457,1999,1041,542,1843,34,441,589,550,107,310,1826,441,243,2405,437,1067
300,104,202,948,116,81,229,45,399,77,54,285,445,449,109,83,1007,676,63,176,101,33,89,114,405,260,539,143,290,352,105,108,244,309,381,28,864,662,175,92,231,332,54,56,90,250,13,108,184,238,292
310,218,624,2255,502,908,350,1617,1438,3650,29,3192,252,498,841,633,2426,630,2465,1653,1020,325,1206,805,917,63,64,2178,1600,660,2181,2294,209,1501,172,528,266,372,1728,1116,608,328,253,1480,515,108,754,6222,2148,2030,2717
320,546,230,1067,371,721,96,1371,405,1641,221,255,364,20,1161,462,54,1092,1135,1422,5,1093,37,93,84,220,327,1323,309,1029,23,351,140,1632,172,924,106,128,321,547,349,723,274,1548,47,263,1567,194,121,1391,171
330,1273,687,1258,607,416,334,658,582,3706,92,2032,2885,887,587,1850,226,215,151,1058,336,287,880,765,1346,165,1928,2766,1870,115,608,711,1171,317,832,350,579,856,132,358,2759,128,2063,2432,664,469,2002,484,1064,574,59
340,675,212,141,220,1736,654,2015,1089,101,1381,981,1730,302,1086,704,3254,603,1853,174,1852,926,750,1383,83,65,1009,790,1930,195,2336,219,190,795,3316,1096,210,1581,1713,127,757,623,515,721,903,117,1788,1039,1325,1217,1621
350,1228,1293,956,741,169,1799,2008,3600,154,1155,332,2721,891,1904,336,1587,796,475,315,532,1418,1403,1410,2814,1280,187,943,810,913,1540,3094,211,608,554,2197,396,187,3283,2245,742,89,713,1875,353,1445,427,557,2386,703,838
360,1232,886,471,161,789,1522,2714,249,2189,740,852,62,146,354,469,1216,1832,238,159,870,360,1594,216,626,2403,237,727,1773,1281,449,951,890,591,1124,2579,1173,713,1962,1091,314,482,159,1680,1305,1767,1146,81,554,547,238
370,448,533,1039,1303,426,146,204,758,66,2933,1990,3767,236,501,47,127,698,172,998,911,505,874,188,1441,2048,670,892,1425,934,234,770,530,342,416,88,484,638,318,1248,306,324,193,306,636,718,749,642,939,685,436
380,217,154,217,515,212,147,593,345,839,407,43,202,305,716,102,221,648,213,302,45,139,79,181,212,71,247,148,641,129,139,145,138,37,951,183,299,604,250,153,67,528,201,135,60,183,152,307,229,181,24
390,229,63,100,153,142,1042,289,85,144,29,388,563,834,723,191,463,675,384,477,177,128,312,116,271,144,282,857,256,796,462,198,53,133,410,373,64,380,256,37,51,94,40,351,772,157,48,43,405,389,830
400,157,396,542,305,629,209,540,280,94,103,2568,196,1603,1265,187,133,30,602,1007,697,70,651,16,178,1665,240,520,332,1172,250,1876,433,729,321,347,757,1192,209,173,168,102,110,148,1015,125,2868,1127,563,1024,969
