0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
10,1,0,2,3,1,4,1,1,2,3,4,2,7,0,2,1,4,0,1,2,5,2,3,2,0,1,2,4,2,2,0,4,1,2,2,1,0,4,1,2,2,0,1,1,1,2,1,4,1,0
20,3,2,4,80,4,16,4,8,11,0,11,20,4,13,46,35,41,3,40,7,0,0,15,38,0,10,1,11,46,0,27,3,18,8,13,6,49,0,6,5,29,8,4,0,0,7,0,10,0,3
30,48,13,5,3,22,69,18,4,14,138,35,8,25,54,28,14,27,79,22,33,52,25,26,12,66,9,53,2,20,33,20,31,128,29,21,77,7,58,62,10,41,5,16,23,17,13,22,13,16,60
40,3,46,15,31,23,53,9,11,18,18,7,81,10,9,32,7,6,13,19,10,10,2,1,29,6,8,33,49,13,12,48,4,7,5,50,10,2,10,4,11,3,5,16,20,12,28,17,2,9,56
50,61,29,40,5,10,11,76,2,0,15,7,37,26,30,12,52,21,1,3,57,38,6,33,25,40,38,15,6,21,18,16,25,20,16,13,19,32,4,53,6,14,2,86,78,19,23,4,9,14,6
60,26,26,14,5,51,3,20,11,34,44,26,15,10,36,48,27,51,8,26,50,9,27,14,28,19,3,12,62,18,23,29,43,16,29,10,23,53,29,27,47,27,26,50,182,32,26,49,20,157,7
70,17,43,22,26,9,27,20,45,16,31,29,15,40,56,60,54,8,37,42,37,55,7,10,8,150,32,107,36,19,100,15,15,45,32,22,32,6,67,6,62,52,27,22,81,18,63,20,31,29,28
80,40,2,14,20,7,3,2,4,26,7,9,0,5,8,19,8,3,26,41,19,7,21,0,4,6,85,15,37,1,11,28,13,0,6,15,3,66,69,6,4,0,12,9,17,35,6,10,97,2,5
90,41,27,23,9,11,16,9,52,22,21,63,13,0,52,58,13,88,55,50,10,24,32,3,54,8,27,21,128,69,14,26,18,100,22,33,62,7,25,27,5,29,24,46,42,32,18,65,18,90,18
100,9,46,61,53,56,31,4,6,37,72,64,97,11,38,121,26,73,44,66,11,24,27,37,20,24,18,19,15,125,30,34,26,80,39,35,59,26,24,25,34,23,21,65,32,41,59,33,17,13,23
110,63,66,72,35,40,53,34,44,43,6,30,52,5,46,41,20,17,16,21,28,15,7,44,57,31,85,17,13,31,2,17,38,33,33,71,41,49,5,36,44,8,12,46,28,19,51,44,55,34,30
120,101,167,598,143,53,285,352,441,389,426,173,289,1013,432,601,393,405,846,298,90,143,584,514,661,67,356,381,358,273,786,396,716,241,451,711,407,684,1126,268,1651,120,134,1319,90,201,507,321,885,384,206
130,101,307,30,40,254,28,30,3,24,283,10,69,140,50,45,302,166,103,173,145,199,155,130,47,45,292,151,105,229,31,124,39,46,176,63,45,217,368,28,73,49,36,22,180,81,142,187,36,212,81
140,448,112,90,57,726,598,375,131,1337,62,262,688,59,453,82,793,86,33,428,637,297,309,660,172,557,347,221,334,483,824,84,386,487,170,329,120,104,707,148,369,364,238,76,46,263,206,1706,314,278,34
150,323,601,105,491,1119,163,990,307,495,679,263,640,94,1114,113,128,697,240,328,543,280,273,1224,86,725,236,40,753,229,965,309,23,355,740,56,814,40,255,273,655,419,525,45,258,153,355,113,390,369,1068
160,423,169,84,488,142,131,94,109,214,51,782,723,797,206,368,1374,223,447,660,168,333,127,64,739,203,59,888,128,303,388,56,469,86,42,465,171,292,125,89,417,333,106,91,63,104,213,98,959,138,671
170,17,116,49,70,272,148,474,6,108,48,46,66,51,166,35,306,7,92,246,153,30,49,133,98,344,101,258,173,157,107,106,49,38,32,49,54,20,155,14,122,46,49,9,69,119,86,28,144,60,54
180,38,104,12,63,92,44,40,13,19,28,53,28,98,13,37,16,160,18,103,41,48,29,151,45,11,32,9,115,52,12,73,5,12,36,140,18,36,6,16,149,16,4,55,121,45,120,52,49,4,23
190,23,334,44,28,6,11,144,130,117,54,55,16,5,17,86,57,116,34,11,88,44,49,57,76,99,57,73,161,16,142,118,30,58,10,81,50,14,194,13,51,9,29,142,132,106,82,80,37,45,148
200,235,56,9,87,160,928,109,203,630,737,295,823,656,391,957,133,396,623,290,972,90,169,36,48,282,309,291,201,166,319,133,62,368,100,122,235,200,375,176,66,153,955,105,416,112,483,389,30,13,665
210,409,328,128,41,68,103,255,84,304,161,84,286,377,620,30,183,142,73,392,329,342,905,261,626,81,77,148,58,463,624,39,173,178,173,423,64,95,175,853,499,70,88,505,248,238,220,53,228,34,377
220,70,22,27,51,81,89,20,11,103,31,21,27,33,189,144,7,66,160,42,12,32,66,61,18,56,1,98,5,89,127,22,56,26,200,97,10,8,44,21,141,48,105,6,33,61,46,29,45,76,59
230,264,86,18,26,65,143,25,7,76,89,21,11,13,42,43,197,8,35,77,169,162,9,34,23,248,229,5,109,13,11,86,26,76,6,50,17,34,9,35,27,41,45,102,0,203,5,71,34,15,64
