0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
10,6,10,15,9,9,10,5,8,27,8,14,14,12,11,9,18,6,8,6,14,24,3,8,10,2,9,7,12,11,13,4,13,15,13,8,7,16,10,6,6,7,18,13,16,4,13,12,26,23,6
20,27,25,10,24,20,10,18,7,12,13,9,1,12,13,24,12,6,11,17,6,9,14,23,12,9,27,23,30,14,24,16,31,12,18,5,16,20,14,21,13,10,6,11,9,18,9,8,9,5,11
30,16,14,12,18,14,14,15,21,6,22,13,12,16,20,10,8,8,9,11,19,17,8,17,13,11,12,23,10,11,7,8,19,8,16,15,6,19,23,15,12,25,6,23,16,19,10,23,12,11,8
40,51,49,29,46,18,33,67,22,16,68,20,20,60,32,64,35,30,45,50,41,63,10,38,40,26,38,22,51,42,29,43,18,64,29,49,102,23,36,36,51,32,66,53,43,46,36,53,30,33,45
50,141,143,138,201,204,375,81,245,175,214,319,118,201,98,246,53,55,262,124,87,151,149,75,250,461,184,259,224,177,144,224,200,69,514,119,657,132,139,115,149,25,84,94,116,132,364,96,117,199,195
60,166,165,99,65,74,306,53,185,93,195,58,125,110,150,180,91,211,133,417,650,73,81,75,88,130,315,65,125,156,39,90,336,109,70,178,195,102,213,182,298,188,191,156,170,230,116,78,162,273,397
70,192,417,504,40,56,413,615,249,157,69,208,560,219,1108,1214,486,99,139,270,406,271,32,231,227,580,189,241,328,771,1052,158,413,303,361,156,111,267,206,322,277,124,893,242,429,525,916,142,1136,547,99
80,105,104,339,206,774,170,286,40,128,632,45,201,122,397,47,515,382,325,208,254,243,8,239,85,233,19,134,193,782,201,336,1195,395,372,50,184,632,169,482,1042,598,282,111,246,62,372,1527,172,52,681
90,207,211,139,62,153,108,363,116,192,72,227,60,234,629,135,107,140,92,802,85,233,157,112,69,136,177,131,141,182,60,77,142,102,106,48,64,177,81,72,184,72,150,173,158,168,127,48,223,86,71
100,214,308,213,226,233,1644,477,651,25,79,237,230,478,448,247,770,48,517,408,412,2180,144,1085,552,221,387,90,381,114,3874,512,635,134,1545,437,764,330,389,184,276,248,582,268,257,134,155,902,1211,769,403
110,1357,184,138,937,337,85,3,126,184,186,549,373,1110,370,1504,1389,269,353,181,229,302,218,530,843,236,428,2792,491,1794,493,112,91,32,562,659,686,316,1629,40,92,325,836,521,44,339,87,1023,1987,262,593
120,793,84,500,460,116,357,362,1033,171,741,923,566,396,405,190,1583,29,885,114,124,601,585,214,172,768,75,930,568,653,459,394,200,530,654,881,629,516,40,1934,868,64,431,1026,1261,374,738,379,420,937,1295
